source_dataset,policy,n,correct,accuracy,macro_f1,tn,fp,fn,tp
hockey,route_on,136,130,0.9558823529411765,0.9557963163596966,62,1,5,68
hockey,bypass,136,132,0.9705882352941176,0.9704861111111112,62,1,3,70
movies2,route_on,293,284,0.9692832764505119,0.9692775505924295,140,4,5,144
movies2,bypass,293,285,0.9726962457337884,0.9726882923191649,140,4,4,145
rwf2000,route_on,27,21,0.7777777777777778,0.7107142857142856,4,3,3,17
rwf2000,bypass,27,21,0.7777777777777778,0.7107142857142856,4,3,3,17
surv_fight,route_on,37,30,0.8108108108108109,0.8085735402808574,13,5,2,17
surv_fight,bypass,37,31,0.8378378378378378,0.8318181818181818,12,6,0,19
violent_flows,route_on,33,29,0.8787878787878788,0.8777777777777778,16,0,4,13
violent_flows,bypass,33,33,1.0,1.0,16,0,0,17
