endpoint,model_id,seed,source_dataset,aggregation,n,correct,accuracy,macro_f1,tn,fp,fn,tp
m1_dense,m1_dense,50900,hockey,locked,136,134,0.9852941176470589,0.9852141769949989,62,1,1,72
m1_dense,m1_dense,50900,movies2,locked,293,290,0.9897610921501706,0.9897567967557364,142,2,1,148
m1_dense,m1_dense,50900,rwf2000,locked,27,19,0.7037037037037037,0.6823529411764706,6,1,7,13
m1_dense,m1_dense,50900,surv_fight,locked,37,33,0.8918918918918919,0.8918128654970761,16,2,2,17
m1_dense,m1_dense,50900,violent_flows,locked,33,33,1.0,1.0,16,0,0,17
m3_crowd,m3_crowd,50902,hockey,locked,136,132,0.9705882352941176,0.9704861111111112,62,1,3,70
m3_crowd,m3_crowd,50902,movies2,locked,293,285,0.9726962457337884,0.9726882923191649,140,4,4,145
m3_crowd,m3_crowd,50902,rwf2000,locked,27,21,0.7777777777777778,0.7107142857142856,4,3,3,17
m3_crowd,m3_crowd,50902,surv_fight,locked,37,31,0.8378378378378378,0.8318181818181818,12,6,0,19
m3_crowd,m3_crowd,50902,violent_flows,locked,33,33,1.0,1.0,16,0,0,17
routed_offline,routed_offline,50902,hockey,locked,136,132,0.9705882352941176,0.9704861111111112,62,1,3,70
routed_offline,routed_offline,50902,movies2,locked,293,286,0.9761092150170648,0.9760991924300515,140,4,3,146
routed_offline,routed_offline,50902,rwf2000,locked,27,21,0.7777777777777778,0.6318181818181818,2,5,1,19
routed_offline,routed_offline,50902,surv_fight,locked,37,28,0.7567567567567568,0.7501875468867216,11,7,2,17
routed_offline,routed_offline,50902,violent_flows,locked,33,28,0.8484848484848485,0.8479262672811061,15,1,4,13
c3d,c3d,50900,hockey,seed_point,136,128,0.9411764705882353,0.9408567079799957,59,4,4,69
c3d,c3d,50900,movies2,seed_point,293,254,0.8668941979522184,0.8664960919701377,119,25,14,135
c3d,c3d,50900,rwf2000,seed_point,27,20,0.7407407407407407,0.6454033771106942,3,4,3,17
c3d,c3d,50900,surv_fight,seed_point,37,26,0.7027027027027027,0.7027027027027027,13,5,6,13
c3d,c3d,50900,violent_flows,seed_point,33,23,0.696969696969697,0.6726190476190477,7,9,1,16
c3d,c3d,50901,hockey,seed_point,136,125,0.9191176470588235,0.9190081749769909,60,3,8,65
c3d,c3d,50901,movies2,seed_point,293,249,0.8498293515358362,0.8490539527913077,114,30,14,135
c3d,c3d,50901,rwf2000,seed_point,27,18,0.6666666666666666,0.5440900562851783,2,5,4,16
c3d,c3d,50901,surv_fight,seed_point,37,25,0.6756756756756757,0.6735294117647059,14,4,8,11
c3d,c3d,50901,violent_flows,seed_point,33,26,0.7878787878787878,0.7806267806267806,10,6,1,16
c3d,c3d,50902,hockey,seed_point,136,133,0.9779411764705882,0.9778825825337454,63,0,3,70
c3d,c3d,50902,movies2,seed_point,293,263,0.8976109215017065,0.8975524475524476,128,16,14,135
c3d,c3d,50902,rwf2000,seed_point,27,20,0.7407407407407407,0.6454033771106942,3,4,3,17
c3d,c3d,50902,surv_fight,seed_point,37,26,0.7027027027027027,0.6991869918699187,11,7,4,15
c3d,c3d,50902,violent_flows,seed_point,33,25,0.7575757575757576,0.7573529411764706,12,4,4,13
i3d,i3d,50900,hockey,seed_point,136,131,0.9632352941176471,0.9631376375562422,62,1,4,69
i3d,i3d,50900,movies2,seed_point,293,288,0.9829351535836177,0.9829279945928938,141,3,2,147
i3d,i3d,50900,rwf2000,seed_point,27,21,0.7777777777777778,0.6318181818181818,2,5,1,19
i3d,i3d,50900,surv_fight,seed_point,37,31,0.8378378378378378,0.8348214285714286,13,5,1,18
i3d,i3d,50900,violent_flows,seed_point,33,30,0.9090909090909091,0.9090909090909091,15,1,2,15
