video_id,source_dataset,label,old_split,semantic_group_id,group_method,status,exclusion_reason,new_split,m1_cache_available,m3_cache_available
hockey_hockey_000267_2e13bcafb08a,hockey,0,train,pcg_08249448576f4f66,perceptual-candidate connected component; reviewed distinct edges dismissed,excluded,candidate_component_label_conflict,excluded,True,True
violent_flows_violent_flows_001561_84bd47af732d,violent_flows,1,train,pcg_b12e31d4b078da29,perceptual-candidate connected component; reviewed distinct edges dismissed,excluded,m3_cache_unavailable,excluded,True,False
movies2_movies2_001428_6b674edb6c97,movies2,1,train,pcg_e1936d7a39cf3836,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,test,True,True
movies2_movies2_001399_9e5ef0c0d7cd,movies2,1,train,pcg_725281c5e489412c,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
movies2_movies2_001363_e774d6a51b9b,movies2,1,train,pcg_fbfbf69211245ad3,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
movies2_movies2_000821_58b1861b09c7,movies2,0,train,pcg_e5dff9fb0830a877,perceptual-candidate connected component; reviewed distinct edges dismissed,excluded,m3_cache_unavailable,excluded,True,False
movies2_movies2_001484_8d2d692e02ba,movies2,0,train,pcg_5524e90e0df180d8,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,test,True,True
movies2_movies2_000762_dc817e733e0a,movies2,1,train,pcg_768991c8c23be679,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,test,True,True
movies2_movies2_000555_9901e512c338,movies2,0,train,pcg_5b6b66deaac82db4,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,val,True,True
movies2_movies2_000922_7b580a55c9b6,movies2,1,train,pcg_3137e80338cdb237,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
movies2_movies2_000894_714148973254,movies2,0,train,pcg_d995b68d10c4e1c7,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
movies2_movies2_000666_a600343accc1,movies2,0,train,pcg_8d1cadf785aedc50,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
hockey_hockey_000073_402af1605e73,hockey,0,train,pcg_1532f87ef491630d,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
movies2_movies2_001039_0353440cb0ad,movies2,1,train,pcg_128f901930f93e1e,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
movies2_movies2_000660_94d0a7873142,movies2,1,train,pcg_532d8968b516926f,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
rwf2000_rwf2000_001778_b12b15c8711f,rwf2000,1,train,pcg_335d49c0a6b6156d,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
hockey_hockey_000472_8ababad3bd84,hockey,1,train,pcg_29e56b70e3167b45,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
hockey_hockey_000245_79f397a0dc36,hockey,0,train,pcg_87c1643531ca5625,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
movies2_movies2_001112_7eaa5f1d87a3,movies2,1,train,pcg_0c704660fbd259a6,perceptual-candidate connected component; reviewed distinct edges dismissed,included,,train,True,True
