video_id,source_dataset,label,split,semantic_group_id,source_video_relative,original_dataset_relative,merged_filename,clip_length,frame_count,sample_fps,m1_cached_tensor_sha256,raw_video_size_bytes,raw_video_sha256
hockey_hockey_000001_7840731394ce,hockey,0,train,pcg_8ab2adb3c34c28ba,data/merged/videos/non_violence/hockey_000001.avi,Hockey Fight/nofights/no100_xvid.avi,hockey_000001.avi,50,13,8.0,ab462347508ac9fe9ac319fc337d7a7f665f58594c5d10ff7b52e610fe4d4205,217804,4fe8ed0ee28f469c54149b80aac7ef1e40a463d968a5aaee41969ae385e03f9d
hockey_hockey_000001_de9cca45305c,hockey,1,train,pcg_7ad052f970a67c66,data/merged/videos/violence/hockey_000001.avi,Hockey Fight/fights/fi100_xvid.avi,hockey_000001.avi,50,13,8.0,cce55e1599a4baa0980955ef9fae688b181d896575a0834757e31d54bf6ccdd3,237872,dd69279c6ef6873cdf8334d019cc8a0ca65654a8218f69e0f2ee65b8b1fa0a03
hockey_hockey_000002_192cab6137dd,hockey,1,train,pcg_3c33b1d9284b66bb,data/merged/videos/violence/hockey_000002.avi,Hockey Fight/fights/fi101_xvid.avi,hockey_000002.avi,50,13,8.0,1c2cfb05c3a14e6b7ba59201055e3e9802ff7c5f02e1e1598cefd5b69a970834,251740,81f6e2af01e858af32a4c45170d59d0b57c01065bcdacd9fa6dc1fc7cbe954e1
hockey_hockey_000002_792ccd44aed4,hockey,0,train,pcg_8e415d95a5a8e280,data/merged/videos/non_violence/hockey_000002.avi,Hockey Fight/nofights/no101_xvid.avi,hockey_000002.avi,50,13,8.0,b64011eec8c633a0ac840618571ebb6caf3db0c49bd68a6656d810f5b45ff5ae,240574,c97a2b335208bbbc91607d520986ded55596f71732a5b0b2db8193a69b755944
hockey_hockey_000003_2bf86fd8ec8c,hockey,0,train,pcg_4cd64b37eb8af560,data/merged/videos/non_violence/hockey_000003.avi,Hockey Fight/nofights/no102_xvid.avi,hockey_000003.avi,50,13,8.0,95143fea1d5f1b9c7deb50ee31fcfff1171c009c3724e671d0a43f2d537fee33,236948,afde07af9711e48b1efd352a521add525c6e24b49e978815f9f4b7ec3e1be23f
hockey_hockey_000003_3367dde10158,hockey,1,val,pcg_8d34bfe3b2259549,data/merged/videos/violence/hockey_000003.avi,Hockey Fight/fights/fi102_xvid.avi,hockey_000003.avi,50,13,8.0,7cb3b8b63f8a3f949761410e9e4dd774c88c7948d2b03fc000fa7ab91da2e613,245996,63e374022bd33334c3367da99a811c63883616aa1798e01bc4389ad2ffb98604
hockey_hockey_000004_3c498def53ab,hockey,0,train,pcg_3c8262808d025d62,data/merged/videos/non_violence/hockey_000004.avi,Hockey Fight/nofights/no103_xvid.avi,hockey_000004.avi,50,13,8.0,129527cd09a0c43648b10894b4fa58693a7802aaca799a76369e39afdb297aa8,229082,629badaf71a7bec8157face3686748d557b0982c4bf596eb04e80f1e17767eed
hockey_hockey_000004_8f904ff9e538,hockey,1,train,pcg_dc9ffc1feff93768,data/merged/videos/violence/hockey_000004.avi,Hockey Fight/fights/fi103_xvid.avi,hockey_000004.avi,50,13,8.0,80cb4f92f05394439a98516a17cb4366409e13a72ac28bc728e0d46ab13c9e85,243672,0f19f682708e49b8147fc3ce2009b30f874b2ea4b3b782a1094ce934b1eefc43
hockey_hockey_000005_1579d6e71f1b,hockey,1,train,pcg_039bba7841c85e90,data/merged/videos/violence/hockey_000005.avi,Hockey Fight/fights/fi104_xvid.avi,hockey_000005.avi,50,13,8.0,5ae56c351aef523878bb84e62dafd8fd9556f66c4ef436a30fb97ad74d52aec9,235546,5a726408901e684f496d9d26e5acc11c03ace3d3dd760782a7a7d7259d154195
hockey_hockey_000006_b621b986ca5e,hockey,0,train,pcg_3c8262808d025d62,data/merged/videos/non_violence/hockey_000006.avi,Hockey Fight/nofights/no105_xvid.avi,hockey_000006.avi,50,13,8.0,b2018d332ca3a7e79aa5a9c0f769cc690a6b2df6e9910cab6ab82a681a19c17f,238696,875fe62ed2952a417bf16c1576fd6547d66396b830deb852af3aed9d5858e03c
hockey_hockey_000006_eb0878e08ce1,hockey,1,train,pcg_cf9c5405d062a9c6,data/merged/videos/violence/hockey_000006.avi,Hockey Fight/fights/fi105_xvid.avi,hockey_000006.avi,50,13,8.0,f7e8be3a28976b3d10314ee6eb488b27e7f5b40abc9225356efaa1ea8aaedd51,255654,be0ccaf8b7d02a65098a403dd0d9e08c500bd4ff3eb03b935d403724b32b1a55
hockey_hockey_000007_71905ae9822c,hockey,1,train,pcg_c9e7351e2359618c,data/merged/videos/violence/hockey_000007.avi,Hockey Fight/fights/fi106_xvid.avi,hockey_000007.avi,50,13,8.0,1c269e754626426ccf64fef13b5dbcc3baf4e1bba167d96dc1703c9e7ac9eee3,257652,ac58e07453b7189dbfa0df7c8a64d4318d8fc38aa4e68c9ad03d213a59e3f0a1
hockey_hockey_000007_e9549eaccd7b,hockey,0,train,pcg_3c8262808d025d62,data/merged/videos/non_violence/hockey_000007.avi,Hockey Fight/nofights/no106_xvid.avi,hockey_000007.avi,50,13,8.0,ee305868df1ccefe5193f17fdd1e066736f45f151b4bbeceec5b20f24d259f2b,232598,010196f9294ea46f32575bf84a11a244bbef3fe4f269cb0ad68dc067cdf0df9e
hockey_hockey_000008_1bc5b0f2160c,hockey,1,train,pcg_47fbcbe1504b8a86,data/merged/videos/violence/hockey_000008.avi,Hockey Fight/fights/fi107_xvid.avi,hockey_000008.avi,50,13,8.0,c5ae1dae634ff0a82075b59b7954c4c75f4dcf9c7fd7e589d201108c77b16fe3,247364,a2564bd97b4dd9cdf3211989b93b589cf743e2e8772c7cca6aaa8cd6ad513b7b
hockey_hockey_000008_c7140384d6a6,hockey,0,train,pcg_f11db14a5cb15385,data/merged/videos/non_violence/hockey_000008.avi,Hockey Fight/nofights/no107_xvid.avi,hockey_000008.avi,50,13,8.0,ca322c18ab6790c78d7058c913cfdeeb67607b514f0309dff2c458706a6d2d8d,244706,f0873af035e8d31655d65335ac91a0ccf002e93c838ab4e01040d7b4c38938e7
hockey_hockey_000009_11e7cf560180,hockey,1,train,pcg_d22388473f40e193,data/merged/videos/violence/hockey_000009.avi,Hockey Fight/fights/fi108_xvid.avi,hockey_000009.avi,50,13,8.0,fb164bbacefbcbf833070e6108137c5768128d4d8991cd14c6d81003ba66a98c,235890,754ef6a83d1d808d0874fbd862fd1c7b4d0c4f59d7c3bd090f3d6a63381f9c45
hockey_hockey_000009_ac6ff7762bfc,hockey,0,train,pcg_3cb237b4677ccc16,data/merged/videos/non_violence/hockey_000009.avi,Hockey Fight/nofights/no108_xvid.avi,hockey_000009.avi,50,13,8.0,fc4cb86144b4d29a9bc47dfeee6a0caad7248dfed81ccf428a1c6a3fdbe60285,244382,c6d9b2031e5a2042edb37c28a2ca25ff300cdc4b223e4066d8dc243fc14678d2
hockey_hockey_000010_4a4d4d3e427a,hockey,1,val,pcg_f3ba73386f5d99cd,data/merged/videos/violence/hockey_000010.avi,Hockey Fight/fights/fi109_xvid.avi,hockey_000010.avi,50,13,8.0,9b66a130b94feb66ca6e33adf9635d379581e3ff9c716da42a0959e9902560b3,235850,11c8632dc7f568dd8b09566c488c44c884fd1365eb1faf5d12a447505ab600c2
hockey_hockey_000010_aee37e273b18,hockey,0,test,pcg_1e00dcfb2170c7fc,data/merged/videos/non_violence/hockey_000010.avi,Hockey Fight/nofights/no109_xvid.avi,hockey_000010.avi,50,13,8.0,c1f947744172a0968f0c40a4b0ed62aae7ad066b08b91db48e1798a0b38b8685,247080,6e3ba514b3faea6308ef2225762e042f6aabeb7583cfcc05f93b8585ebc7af9f
hockey_hockey_000011_3fb968db0bf1,hockey,1,train,pcg_70b057abdd061ce7,data/merged/videos/violence/hockey_000011.avi,Hockey Fight/fights/fi10_xvid.avi,hockey_000011.avi,50,13,8.0,fb0862faef975d570c9740356957922a13140ddbc258046532a4abb927af0c8a,222056,7654babb2d873066205d0771edf0543bd010fb5adf39f8a3bfd2afb503081ccd
hockey_hockey_000011_5da07cbf5673,hockey,0,train,pcg_5b7a3361f3472b1f,data/merged/videos/non_violence/hockey_000011.avi,Hockey Fight/nofights/no10_xvid.avi,hockey_000011.avi,50,13,8.0,1687367beca3b95cc4d580a29a9fd88ef1a0c0151e17088804e7ee9e454db5a6,219916,a399a8bd07065ff58521f8da6b4fe2ebb8bb6972b9512c2023bdfbd457ffdf62
hockey_hockey_000012_6e9ed6643e6a,hockey,1,train,pcg_6ab31f5dd50b4bda,data/merged/videos/violence/hockey_000012.avi,Hockey Fight/fights/fi110_xvid.avi,hockey_000012.avi,50,13,8.0,14b9d3027b3a34b3824a89937931fed3d12db6687795d6bb5584c2198e8f78c2,245238,e02c038d856abe38140d6ac87860acb93bd6f5e0c01a6cc0296b3dc31f9eb680
hockey_hockey_000012_ba8610ce94ff,hockey,0,train,pcg_46be99620ffe4798,data/merged/videos/non_violence/hockey_000012.avi,Hockey Fight/nofights/no110_xvid.avi,hockey_000012.avi,50,13,8.0,2d81e07dd8dba8aa5c02ae2bc311dfd3f1149f19844fd7e0cd3af8193f6b9c0c,237698,9cb24a9b54b33602d31aeaffda8fad7ac2adf030078026aa3ac2c5666ffaca32
hockey_hockey_000013_550a59946110,hockey,0,val,pcg_3c57edce0ee46609,data/merged/videos/non_violence/hockey_000013.avi,Hockey Fight/nofights/no111_xvid.avi,hockey_000013.avi,50,13,8.0,745c054a1aef8d7b3300479b2758cc1a4c3e273d835006aeffe39d123f35a2f4,179306,c1095f1239f06684a764d320cfb10b96e5ca8be5c4f6a668064917623b697959
hockey_hockey_000013_a1974fb7e3fc,hockey,1,train,pcg_76b3d9b95c711ce5,data/merged/videos/violence/hockey_000013.avi,Hockey Fight/fights/fi111_xvid.avi,hockey_000013.avi,50,13,8.0,45e0f9d538077dbf2434ca214b42deb6871180dcb6658e0e13405662ff2c6923,241874,872bbeae05afa452d94343ef409d073ce905a3e0c7386a886510b6f855e300e2
