cache_path,video_id,label,label_name,split,source_dataset,source_video,merged_filename,clip_length,height,width,dtype,preprocess_type,frame_count,sample_fps,sha256
wholeframe_rgb_t50_224/samples/hockey_hockey_000267_2e13bcafb08a.pt,hockey_hockey_000267_2e13bcafb08a,0,non_violence,train,hockey,data\merged\videos\non_violence\hockey_000267.avi,hockey_000267.avi,50,224,224,uint8,wholeframe,13,8.0,275f54891a11eb9cb1cc47cfd2f3246861294930fcf36498b27598fcd1ff140d
wholeframe_rgb_t50_224/samples/violent_flows_violent_flows_001561_84bd47af732d.pt,violent_flows_violent_flows_001561_84bd47af732d,1,violence,train,violent_flows,data\merged\videos\violence\violent_flows_001561.avi,violent_flows_001561.avi,50,224,224,uint8,wholeframe,35,8.0,20bf88fd0bfc006afd12293631252e57ce01f60fd868da49a379adca6b1b4083
wholeframe_rgb_t50_224/samples/movies2_movies2_001428_6b674edb6c97.pt,movies2_movies2_001428_6b674edb6c97,1,violence,train,movies2,data\merged\videos\violence\movies2_001428.mp4,movies2_001428.mp4,50,224,224,uint8,wholeframe,39,8.0,1465f0f0a0ae63470faa56a9c6ab39d8f0511a01f0bcbbe06132bc60bdd6f562
wholeframe_rgb_t50_224/samples/movies2_movies2_001399_9e5ef0c0d7cd.pt,movies2_movies2_001399_9e5ef0c0d7cd,1,violence,train,movies2,data\merged\videos\violence\movies2_001399.mp4,movies2_001399.mp4,50,224,224,uint8,wholeframe,43,8.0,95e79fc9829b98f3f9c477cb8e4950311452cf9bbc794a5805243bd1d054a716
wholeframe_rgb_t50_224/samples/movies2_movies2_001363_e774d6a51b9b.pt,movies2_movies2_001363_e774d6a51b9b,1,violence,train,movies2,data\merged\videos\violence\movies2_001363.mp4,movies2_001363.mp4,50,224,224,uint8,wholeframe,40,8.0,c3295bb5532a56d5fc99ad98ed77740ddf3e8bfb2939d02f5fdb3db93394f786
wholeframe_rgb_t50_224/samples/movies2_movies2_000821_58b1861b09c7.pt,movies2_movies2_000821_58b1861b09c7,0,non_violence,train,movies2,data\merged\videos\non_violence\movies2_000821.mp4,movies2_000821.mp4,50,224,224,uint8,wholeframe,40,8.0,ca5a2ade7ebde506df243166cc3a8fca683f686170d2898ac4e94244a7d68a09
wholeframe_rgb_t50_224/samples/movies2_movies2_001484_8d2d692e02ba.pt,movies2_movies2_001484_8d2d692e02ba,0,non_violence,train,movies2,data\merged\videos\non_violence\movies2_001484.avi,movies2_001484.avi,50,224,224,uint8,wholeframe,40,8.0,8b048c74fadbda6536d6adcf545bb3c295f25c8896d09d48498ad42a6807747a
wholeframe_rgb_t50_224/samples/movies2_movies2_000762_dc817e733e0a.pt,movies2_movies2_000762_dc817e733e0a,1,violence,train,movies2,data\merged\videos\violence\movies2_000762.mp4,movies2_000762.mp4,50,224,224,uint8,wholeframe,35,8.0,f59c9b823c034a8068c96dba3573b17209cd8dd70f568322ca83e9ee30717f8b
wholeframe_rgb_t50_224/samples/movies2_movies2_000555_9901e512c338.pt,movies2_movies2_000555_9901e512c338,0,non_violence,train,movies2,data\merged\videos\non_violence\movies2_000555.mp4,movies2_000555.mp4,50,224,224,uint8,wholeframe,40,8.0,8ec1aefa2dac8266741b3396fc8e8a2fd5897878e8c645c0c703fed9701e7347
wholeframe_rgb_t50_224/samples/movies2_movies2_000922_7b580a55c9b6.pt,movies2_movies2_000922_7b580a55c9b6,1,violence,train,movies2,data\merged\videos\violence\movies2_000922.mp4,movies2_000922.mp4,50,224,224,uint8,wholeframe,36,8.0,90af34289cd776c800ff91c97fc375869e27018627c227c630e0e28129fb3783
wholeframe_rgb_t50_224/samples/movies2_movies2_000894_714148973254.pt,movies2_movies2_000894_714148973254,0,non_violence,train,movies2,data\merged\videos\non_violence\movies2_000894.mp4,movies2_000894.mp4,50,224,224,uint8,wholeframe,40,8.0,72263bd3ff35470ce38495156722c83e7d1bad19b8f972a42bf6f266f9e65b9e
wholeframe_rgb_t50_224/samples/movies2_movies2_000666_a600343accc1.pt,movies2_movies2_000666_a600343accc1,0,non_violence,train,movies2,data\merged\videos\non_violence\movies2_000666.mp4,movies2_000666.mp4,50,224,224,uint8,wholeframe,36,8.0,8ae7fc9024b5f4360670371429e1e7df2020e2ca228bdb61b6ec5d7141e05dca
wholeframe_rgb_t50_224/samples/hockey_hockey_000073_402af1605e73.pt,hockey_hockey_000073_402af1605e73,0,non_violence,train,hockey,data\merged\videos\non_violence\hockey_000073.avi,hockey_000073.avi,50,224,224,uint8,wholeframe,13,8.0,6581b96656e34be71938c21e488d67a5c742c235cd723a6bfc35adb717bae074
wholeframe_rgb_t50_224/samples/movies2_movies2_001039_0353440cb0ad.pt,movies2_movies2_001039_0353440cb0ad,1,violence,train,movies2,data\merged\videos\violence\movies2_001039.mp4,movies2_001039.mp4,50,224,224,uint8,wholeframe,40,8.0,b6306cbf649cdf1e73f1328324b2898bc04d2640934ae47c0ec9d998610d0486
wholeframe_rgb_t50_224/samples/movies2_movies2_000660_94d0a7873142.pt,movies2_movies2_000660_94d0a7873142,1,violence,train,movies2,data\merged\videos\violence\movies2_000660.mp4,movies2_000660.mp4,50,224,224,uint8,wholeframe,38,8.0,09662374ec4b9a8658d2e2b1bd16284702b1f21e0430c6015710992e5a0afb7b
wholeframe_rgb_t50_224/samples/rwf2000_rwf2000_001778_b12b15c8711f.pt,rwf2000_rwf2000_001778_b12b15c8711f,1,violence,train,rwf2000,data\merged\videos\violence\rwf2000_001778.mp4,rwf2000_001778.mp4,50,224,224,uint8,wholeframe,50,8.0,420642a3ac63122bc5297da6fcad82abc05a7ab455745730a520a3bd82ae8a94
wholeframe_rgb_t50_224/samples/hockey_hockey_000472_8ababad3bd84.pt,hockey_hockey_000472_8ababad3bd84,1,violence,train,hockey,data\merged\videos\violence\hockey_000472.avi,hockey_000472.avi,50,224,224,uint8,wholeframe,13,8.0,75c5d8a7ffcdbfeec75b4fd6c94ac55d61dd4a3bddf57b0aca9506c6e2fadf1e
wholeframe_rgb_t50_224/samples/hockey_hockey_000245_79f397a0dc36.pt,hockey_hockey_000245_79f397a0dc36,0,non_violence,train,hockey,data\merged\videos\non_violence\hockey_000245.avi,hockey_000245.avi,50,224,224,uint8,wholeframe,13,8.0,59e9b3c23d3b7894c391f3b34c370626225dae5e56a9aa3afd6c072da0189e29
wholeframe_rgb_t50_224/samples/movies2_movies2_001112_7eaa5f1d87a3.pt,movies2_movies2_001112_7eaa5f1d87a3,1,violence,train,movies2,data\merged\videos\violence\movies2_001112.mp4,movies2_001112.mp4,50,224,224,uint8,wholeframe,40,8.0,70c8982eb40daeddd1dd186a29f1f17319e74384a8a12c4225c3e7759d5a9bae
wholeframe_rgb_t50_224/samples/movies2_movies2_000679_caf6174562d8.pt,movies2_movies2_000679_caf6174562d8,1,violence,train,movies2,data\merged\videos\violence\movies2_000679.mp4,movies2_000679.mp4,50,224,224,uint8,wholeframe,37,8.0,5d61cbb5610d9f74bf280b41fe8cbf58b628a2cb54cc91705ae528d7fd41beed
wholeframe_rgb_t50_224/samples/hockey_hockey_000121_f52008fafbea.pt,hockey_hockey_000121_f52008fafbea,0,non_violence,train,hockey,data\merged\videos\non_violence\hockey_000121.avi,hockey_000121.avi,50,224,224,uint8,wholeframe,13,8.0,a867cbb4223ffe643d543187fd91d12be971add356cbfc072ed3423d628865ca
wholeframe_rgb_t50_224/samples/movies2_movies2_001104_43a64ec567d3.pt,movies2_movies2_001104_43a64ec567d3,0,non_violence,train,movies2,data\merged\videos\non_violence\movies2_001104.mp4,movies2_001104.mp4,50,224,224,uint8,wholeframe,40,8.0,dedf06a777278b0fbfca0d50032d417bf2448a86ed55cf7cccdbd56115d9d033
wholeframe_rgb_t50_224/samples/movies2_movies2_000556_bd911125e396.pt,movies2_movies2_000556_bd911125e396,1,violence,train,movies2,data\merged\videos\violence\movies2_000556.mp4,movies2_000556.mp4,50,224,224,uint8,wholeframe,47,8.0,3a041efe6778b556b6fe24d2d75ca6c19f1bc0d877ea0f4c1e0d172896a525b9
wholeframe_rgb_t50_224/samples/movies2_movies2_000573_0410e9be7386.pt,movies2_movies2_000573_0410e9be7386,0,non_violence,train,movies2,data\merged\videos\non_violence\movies2_000573.mp4,movies2_000573.mp4,50,224,224,uint8,wholeframe,40,8.0,e1e7a87effbdf6eed5312553588703649e47d47f83ad426557c19d1395295410
wholeframe_rgb_t50_224/samples/movies2_movies2_000694_9b897fe65504.pt,movies2_movies2_000694_9b897fe65504,0,non_violence,train,movies2,data\merged\videos\non_violence\movies2_000694.mp4,movies2_000694.mp4,50,224,224,uint8,wholeframe,30,8.0,aa757fa8246e12ea1cf206aef4af048df7eaa565ef5ebca3b3894113b7e1ee04
wholeframe_rgb_t50_224/samples/surv_fight_surv_fight_001960_7c548b11b26b.pt,surv_fight_surv_fight_001960_7c548b11b26b,1,violence,train,surv_fight,data\merged\videos\violence\surv_fight_001960.mp4,surv_fight_001960.mp4,50,224,224,uint8,wholeframe,17,8.0,7f7c8e147a817228eca934dc5bea25357bda6f968c02dadb3e7d0eb6f331d9fb
wholeframe_rgb_t50_224/samples/movies2_movies2_000780_f280a2f785a2.pt,movies2_movies2_000780_f280a2f785a2,1,violence,train,movies2,data\merged\videos\violence\movies2_000780.mp4,movies2_000780.mp4,50,224,224,uint8,wholeframe,45,8.0,644ede8b6dd362769960fa5eb9ab6c1b17198c49440a5e34e79f760544b8f74b
wholeframe_rgb_t50_224/samples/violent_flows_violent_flows_001602_8518d9aebb9d.pt,violent_flows_violent_flows_001602_8518d9aebb9d,0,non_violence,train,violent_flows,data\merged\videos\non_violence\violent_flows_001602.avi,violent_flows_001602.avi,50,224,224,uint8,wholeframe,24,8.0,7aaae82cd5dc31b28eb56219e7a519822cfaebd14bb7f0b220196ce7b9a7c03c
wholeframe_rgb_t50_224/samples/hockey_hockey_000133_b1f42bc9c496.pt,hockey_hockey_000133_b1f42bc9c496,0,non_violence,train,hockey,data\merged\videos\non_violence\hockey_000133.avi,hockey_000133.avi,50,224,224,uint8,wholeframe,13,8.0,4564dafadeb747e80ea40a16a79a6392a87cd24a310be35f22ea3cb0eaca6eef
wholeframe_rgb_t50_224/samples/rwf2000_rwf2000_001689_dcc4a9d59d73.pt,rwf2000_rwf2000_001689_dcc4a9d59d73,1,violence,train,rwf2000,data\merged\videos\violence\rwf2000_001689.mp4,rwf2000_001689.mp4,50,224,224,uint8,wholeframe,50,8.0,74d8f1eff684adddd04ede91abe9c5c6e30c68cec7a898be2c573b8d3bb73355
wholeframe_rgb_t50_224/samples/movies2_movies2_001047_608f433f3f35.pt,movies2_movies2_001047_608f433f3f35,0,non_violence,train,movies2,data\merged\videos\non_violence\movies2_001047.mp4,movies2_001047.mp4,50,224,224,uint8,wholeframe,40,8.0,548fba5fd744165ca5b234f9c8b17daaeef6c8829dbfe16afdbb00915ed8bbb4
